run	Gbp	taxon_name	isolation_source
SRR11622565	1.012	Klebsiella pneumoniae	respiratory
SRR11622566	1.1	Klebsiella pneumoniae	gastrointestinal
SRR11622567	1.028	Klebsiella pneumoniae	wound
SRR11622568	1.043	Klebsiella pneumoniae	blood
SRR11622569	0.949	Klebsiella pneumoniae	wound
SRR11622570	1.009	Klebsiella pneumoniae	respiratory
SRR11622571	1.162	Klebsiella pneumoniae	wound
SRR11622572	1.05	Klebsiella pneumoniae	blood
SRR11622573	1.038	Klebsiella pneumoniae	blood
SRR11622574	1.087	Klebsiella pneumoniae	wound
SRR11622575	0.984	Klebsiella variicola	wound
SRR11622576	0.963	Klebsiella pneumoniae	wound
SRR11622577	1.003	Klebsiella pneumoniae	gastrointestinal
SRR11622578	0.892	Klebsiella pneumoniae	bone
SRR11622579	1.111	Klebsiella pneumoniae	urinary
SRR11622580	1.027	Klebsiella pneumoniae	blood
SRR11622581	1.112	Klebsiella pneumoniae	wound
SRR11622582	1.053	Klebsiella pneumoniae	wound
SRR11622583	0.884	Klebsiella pneumoniae	wound
SRR11622584	1.114	Klebsiella pneumoniae	blood
SRR11622585	1.156	Klebsiella pneumoniae	blood
SRR11622586	1.157	Klebsiella pneumoniae	respiratory
SRR11622588	0.972	Klebsiella pneumoniae	urinary
SRR11622589	0.964	Klebsiella pneumoniae	blood
SRR11622590	1.191	Klebsiella pneumoniae	wound
SRR11622591	0.997	Klebsiella pneumoniae	wound
SRR11622592	1.029	Klebsiella pneumoniae	wound
SRR11622593	0.977	Klebsiella pneumoniae	wound
SRR11622594	1.069	Klebsiella pneumoniae	wound
SRR11622595	0.892	Klebsiella quasipneumoniae subsp. quasipneumoniae	gastrointestinal
SRR11622596	1.062	Klebsiella pneumoniae	urinary
SRR11622597	1.027	Klebsiella pneumoniae	urinary
SRR11622598	1.04	Klebsiella pneumoniae	gastrointestinal
SRR11622599	1.089	Klebsiella pneumoniae	urinary
SRR11622600	1.081	Klebsiella quasipneumoniae	wound
SRR11622601	1.046	Klebsiella pneumoniae	bone
SRR11622602	0.959	Klebsiella pneumoniae	urinary
SRR11622603	1.095	Klebsiella pneumoniae	gastrointestinal
SRR11622604	1.059	Klebsiella variicola subsp. variicola	urinary
SRR11622605	1.074	Klebsiella pneumoniae	urinary
SRR11622606	1.058	Klebsiella pneumoniae	urinary
SRR11622607	1.28	Klebsiella variicola subsp. variicola	respiratory
SRR11622608	0.915	Klebsiella pneumoniae	wound
SRR11622609	1.028	Klebsiella pneumoniae	wound
SRR11622610	1.025	Klebsiella pneumoniae	rectal
SRR11622611	1.168	Klebsiella pneumoniae	blood
SRR11622612	1.126	Klebsiella pneumoniae	blood
SRR11992849	0.32	Klebsiella aerogenes	RECTAL
SRR11992850	0.454	Klebsiella pneumoniae	RECTAL
SRR11992851	0.402	Klebsiella pneumoniae	RECTAL
SRR11992854	0.423	Klebsiella pneumoniae	RECTAL
SRR11992855	0.375	Klebsiella pneumoniae	RECTAL
SRR11992857	0.382	Klebsiella pneumoniae	respiratory
SRR11992858	0.441	Klebsiella pneumoniae	respiratory
SRR11992859	0.488	Klebsiella pneumoniae	RECTAL
SRR11992860	0.517	Klebsiella pneumoniae	RECTAL
SRR11992861	0.374	Klebsiella pneumoniae	wound
SRR11992862	0.371	Klebsiella pneumoniae	blood
SRR11992863	0.487	Klebsiella quasipneumoniae	RECTAL
SRR11992864	0.487	Klebsiella pneumoniae	RECTAL
SRR11992866	0.389	Klebsiella pneumoniae	RECTAL
SRR11992867	0.447	Klebsiella aerogenes	blood
SRR11992868	0.426	Klebsiella pneumoniae	blood
SRR11992872	0.326	Klebsiella quasipneumoniae	RECTAL
SRR11992873	0.363	Klebsiella pneumoniae	URINARY
SRR11992874	0.365	Klebsiella quasipneumoniae	RECTAL
SRR11992876	0.38	Klebsiella pneumoniae	respiratory
SRR11992878	0.279	Klebsiella aerogenes	GASTROINTESTINAL
SRR11992879	0.369	Klebsiella michiganensis	RECTAL
SRR11992880	0.398	Klebsiella variicola subsp. variicola	respiratory
SRR11992881	0.423	Klebsiella pneumoniae	RECTAL
SRR11992882	0.436	Klebsiella pneumoniae	blood
SRR11992883	1.033	Klebsiella aerogenes	wound
SRR11992884	0.388	Klebsiella pneumoniae	blood
SRR11992885	0.411	Klebsiella quasipneumoniae	respiratory
SRR11992886	0.417	Klebsiella pneumoniae	RECTAL
SRR11992887	0.414	Klebsiella pneumoniae	respiratory
SRR11992888	0.392	Klebsiella pneumoniae	wound
SRR11992889	1.173	Klebsiella aerogenes	GASTROINTESTINAL
SRR11992890	0.435	Klebsiella pneumoniae	blood
SRR11992891	0.41	Klebsiella pneumoniae	URINARY
SRR11992892	0.363	Klebsiella quasipneumoniae	RECTAL
SRR11992893	0.361	Klebsiella pneumoniae	RECTAL
SRR11992894	0.387	Klebsiella pneumoniae	wound
SRR11992896	0.371	Klebsiella pneumoniae	GASTROINTESTINAL
SRR11992897	0.38	Klebsiella pneumoniae	RECTAL
SRR11992898	0.333	Klebsiella pneumoniae	URINARY
SRR11992899	0.427	Klebsiella pneumoniae	GASTROINTESTINAL
SRR11992900	1.132	Klebsiella aerogenes	respiratory
SRR11992901	0.375	Klebsiella pneumoniae	RECTAL
SRR11992902	0.386	Klebsiella pneumoniae	URINARY
SRR11992906	0.356	Klebsiella quasipneumoniae	RECTAL
SRR11992908	0.345	Klebsiella quasipneumoniae	respiratory
SRR11992909	0.378	Klebsiella pneumoniae	URINARY
SRR11992910	0.35	Klebsiella quasipneumoniae	respiratory
SRR11992911	0.402	Klebsiella pneumoniae	URINARY
SRR11992912	0.404	Klebsiella quasipneumoniae	blood
SRR11992913	0.372	Klebsiella pneumoniae	wound
SRR11992914	0.355	Klebsiella pneumoniae	respiratory
SRR11992915	0.459	Klebsiella pneumoniae	wound
SRR11992916	0.339	Klebsiella pneumoniae	wound
SRR11992917	1.278	Klebsiella pneumoniae	RECTAL
SRR11992918	0.43	Klebsiella quasipneumoniae	blood
SRR11992922	0.353	Klebsiella pneumoniae	URINARY
SRR11992923	0.356	Klebsiella michiganensis	respiratory
SRR11992924	0.412	Klebsiella pneumoniae	blood
SRR11992925	0.524	Klebsiella pneumoniae	RECTAL
SRR11992926	0.371	Klebsiella quasipneumoniae	blood
SRR11992927	0.441	Klebsiella pneumoniae	respiratory
SRR11992928	0.481	Klebsiella quasipneumoniae	RECTAL
SRR11992930	0.941	Klebsiella aerogenes	wound
SRR11992931	1.045	Klebsiella aerogenes	wound
SRR11992932	0.39	Klebsiella pneumoniae	swab
SRR11992933	0.851	Klebsiella aerogenes	URINARY
SRR11992934	0.933	Klebsiella aerogenes	wound
SRR11992935	1.21	Klebsiella aerogenes	GASTROINTESTINAL
SRR11992936	1.155	Klebsiella aerogenes	wound
SRR11992938	1.153	Klebsiella aerogenes	wound
SRR11992939	1.149	Klebsiella michiganensis	wound
SRR11992940	0.406	Klebsiella pneumoniae	RECTAL
SRR11992941	0.346	Klebsiella pneumoniae	RECTAL
SRR11992942	1.185	Klebsiella pneumoniae	GASTROINTESTINAL
SRR11992943	0.388	Klebsiella pneumoniae	blood
SRR11992945	0.456	Klebsiella pneumoniae	RECTAL
SRR11992946	0.382	Klebsiella pneumoniae	RECTAL
SRR11992947	0.465	Klebsiella quasipneumoniae	RECTAL
SRR11992948	0.36	Klebsiella pneumoniae	RECTAL
SRR11992949	0.601	Klebsiella pneumoniae	RECTAL
SRR11992950	0.349	Klebsiella pneumoniae	RECTAL
SRR11992951	0.517	Klebsiella pneumoniae	URINARY
SRR11992952	0.348	Klebsiella pneumoniae	RECTAL
SRR11992954	0.36	Klebsiella pneumoniae	bone
SRR11992955	0.398	Klebsiella pneumoniae	URINARY
SRR11992957	0.305	Klebsiella pneumoniae	RECTAL
SRR11992958	0.636	Klebsiella pneumoniae	RECTAL
SRR11992959	0.6	Klebsiella oxytoca	RECTAL
SRR11992960	0.464	Klebsiella pneumoniae	RECTAL
SRR11992961	0.595	Klebsiella pneumoniae	RECTAL
SRR11992964	0.314	Klebsiella oxytoca	RECTAL
SRR11992966	0.411	Klebsiella pneumoniae	wound
SRR11992968	0.603	Klebsiella quasipneumoniae	RECTAL
SRR11992969	0.515	Klebsiella quasipneumoniae subsp. quasipneumoniae	RECTAL
SRR11992970	0.544	Klebsiella pneumoniae	RECTAL
SRR11992971	0.466	Klebsiella quasipneumoniae subsp. quasipneumoniae	RECTAL
SRR11992972	0.35	Klebsiella pneumoniae	RECTAL
SRR11992973	0.374	Klebsiella pneumoniae	RECTAL
SRR11992974	0.421	Klebsiella pneumoniae	RECTAL
SRR11992975	0.357	Klebsiella pneumoniae	blood
SRR11992976	0.377	Klebsiella pneumoniae	RECTAL
SRR11992977	0.351	Klebsiella pneumoniae	GASTROINTESTINAL
