MG-RAST id,order of rows in Figure 5,virome/total_comm,project,sample id,genome project id,Pubmed id,percentage reads crAssphage,crAssphage reads,total reads,Biome,Feature,Material,Environmental Package
4478529.3,310,total_community,Human Microbiome Project (HMP),SRR062376,,19819907,4.88511E-05,28,57317084,terrestrial biome,human-associated habitat,feces,human-gut
4517708.3,37,,Mice Frailty,Mouse_11.7_R1,,,4.87723E-05,4,8201382,terrestrial biome,mammalia-associated habitat,feces,host-associated
4472265.3,311,total_community,Human Microbiome Project (HMP),SRR059813,,19819907,4.87342E-05,29,59506524,terrestrial biome,human-associated habitat,feces,human-gut
4472791.3,844,total_community,Human Microbiome Project (HMP),SRR061351,,19819907,4.78953E-05,6,12527328,terrestrial biome,human-associated habitat,organic material,human-skin
4472816.3,835,total_community,Human Microbiome Project (HMP),SRR061376,,19819907,4.78573E-05,17,35522242,terrestrial biome,human-associated habitat,organic material,human-skin
4472364.3,542,total_community,Human Microbiome Project (HMP),SRR059918,,19819907,4.77798E-05,14,29301098,terrestrial biome,human-associated habitat,mucus,human-oral
4472942.3,530,total_community,Human Microbiome Project (HMP),SRR061502,,19819907,4.76436E-05,23,48275133,terrestrial biome,human-associated habitat,mucus,human-oral
4472938.3,512,total_community,Human Microbiome Project (HMP),SRR061498,,19819907,4.75868E-05,23,48332742,terrestrial biome,human-associated habitat,mucus,human-oral
4478607.3,812,total_community,Human Microbiome Project (HMP),SRR063533,,19819907,4.71571E-05,8,16964576,terrestrial biome,human-associated habitat,organic material,human-skin
4517720.3,36,,Mice Frailty,Mouse_2.M13-Jul13_R1,,,4.58277E-05,4,8728351,terrestrial biome,mammalia-associated habitat,feces,host-associated
4473474.3,516,total_community,Human Microbiome Project (HMP),SRR062500,,19819907,4.57962E-05,24,52406072,terrestrial biome,human-associated habitat,mucus,human-oral
4473368.3,585,total_community,Human Microbiome Project (HMP),SRR062392,,19819907,4.53156E-05,8,17653966,terrestrial biome,human-associated habitat,mucus,human-oral
4473359.3,531,total_community,Human Microbiome Project (HMP),SRR062383,,19819907,4.52042E-05,21,46455812,terrestrial biome,human-associated habitat,mucus,human-oral
4473045.3,549,total_community,Human Microbiome Project (HMP),SRR061694,,19819907,4.36466E-05,14,32075808,terrestrial biome,human-associated habitat,mucus,human-oral
4473263.3,657,total_community,Human Microbiome Project (HMP),SRR062285,,19819907,4.34496E-05,3,6904548,terrestrial biome,human-associated habitat,mucus,human-oral
4472496.3,671,total_community,Human Microbiome Project (HMP),SRR060388,,19819907,4.24321E-05,2,4713411,terrestrial biome,human-associated habitat,mucus,human-oral
4473229.3,720,total_community,Human Microbiome Project (HMP),SRR062084,,19819907,4.23003E-05,2,4728104,terrestrial biome,human-associated habitat,mucus,human-oral
4478601.3,747,total_community,Human Microbiome Project (HMP),SRR063514,,19819907,4.16612E-05,1,2400317,terrestrial biome,human-associated habitat,mucus,human-oral
4472964.3,603,total_community,Human Microbiome Project (HMP),SRR061524,,19819907,4.15061E-05,8,19274275,terrestrial biome,human-associated habitat,mucus,human-oral
4508939.3,929,,EarlhamMetagenomes2012,002004_Nocton_Corn_GTTTCG_filtered_merged.fastq,,,4.13614E-05,7,16923988,Temperate broadleaf and mixed forest biome,farm,agricultural soil,soil
4472845.3,842,total_community,Human Microbiome Project (HMP),SRR061405,,19819907,4.00275E-05,6,14989697,terrestrial biome,human-associated habitat,organic material,human-skin
4473033.3,912,total_community,Human Microbiome Project (HMP),SRR061593,,19819907,3.9125E-05,2,5111827,terrestrial biome,human-associated habitat,mucus,human-vaginal
4472911.3,852,total_community,Human Microbiome Project (HMP),SRR061471,,19819907,3.87923E-05,1,2577828,terrestrial biome,human-associated habitat,organic material,human-skin
4473350.3,529,total_community,Human Microbiome Project (HMP),SRR062374,,19819907,3.8655E-05,18,46565772,terrestrial biome,human-associated habitat,mucus,human-oral
4473077.3,803,total_community,Human Microbiome Project (HMP),SRR061922,,19819907,3.85299E-05,12,31144605,terrestrial biome,human-associated habitat,organic material,human-skin
4473602.3,811,total_community,Human Microbiome Project (HMP),SRR063531,,19819907,3.83738E-05,7,18241612,terrestrial biome,human-associated habitat,organic material,human-skin
4472372.3,533,total_community,Human Microbiome Project (HMP),SRR059926,,19819907,3.81013E-05,18,47242525,terrestrial biome,human-associated habitat,mucus,human-oral
4472359.3,851,total_community,Human Microbiome Project (HMP),SRR059913,,19819907,3.7888E-05,1,2639356,terrestrial biome,human-associated habitat,organic material,human-skin
4472443.3,532,total_community,Human Microbiome Project (HMP),SRR060120,,19819907,3.75343E-05,20,53284656,terrestrial biome,human-associated habitat,mucus,human-oral
4517709.3,42,,Mice Frailty,Mouse_11.7_R2,,,3.65792E-05,3,8201382,terrestrial biome,mammalia-associated habitat,feces,host-associated
4472120.3,584,total_community,Human Microbiome Project (HMP),SRR059334,,19819907,3.64811E-05,10,27411453,terrestrial biome,human-associated habitat,mucus,human-oral
4472515.3,571,total_community,Human Microbiome Project (HMP),SRR060407,,19819907,3.598E-05,9,25013874,terrestrial biome,human-associated habitat,mucus,human-oral
4478584.3,693,total_community,Human Microbiome Project (HMP),SRR063462,,19819907,3.5969E-05,2,5560350,terrestrial biome,human-associated habitat,mucus,human-oral
4517721.3,41,,Mice Frailty,Mouse_2.M13-Jul13_R2,,,3.43708E-05,3,8728351,terrestrial biome,mammalia-associated habitat,feces,host-associated
4472442.3,527,total_community,Human Microbiome Project (HMP),SRR060119,,19819907,3.43492E-05,18,52402951,terrestrial biome,human-associated habitat,mucus,human-oral
4479944.3,35,,Sao Paulo Zoo Composting,Zoo Compost 2 (ZC2),,,3.37125E-05,1,2966260,Subtropical and temperate rainforests or woodlands,Zoological garden,compost,host-associated
4473223.3,672,total_community,Human Microbiome Project (HMP),SRR062078,,19819907,3.34694E-05,2,5975614,terrestrial biome,human-associated habitat,mucus,human-oral
4472530.3,673,total_community,Human Microbiome Project (HMP),SRR060422,,19819907,3.34204E-05,2,5984369,terrestrial biome,human-associated habitat,mucus,human-oral
4473224.3,694,total_community,Human Microbiome Project (HMP),SRR062079,,19819907,3.27472E-05,2,6107384,terrestrial biome,human-associated habitat,mucus,human-oral
4478481.3,724,total_community,Human Microbiome Project (HMP),SRR062062,,19819907,3.2191E-05,2,6212917,terrestrial biome,human-associated habitat,mucus,human-oral
4472457.3,534,total_community,Human Microbiome Project (HMP),SRR060156,,19819907,3.20781E-05,18,56112966,terrestrial biome,human-associated habitat,mucus,human-oral
4517716.3,38,,Mice Frailty,Mouse_18.M11-Aug14_R1,,,3.17056E-05,4,12616066,terrestrial biome,mammalia-associated habitat,feces,host-associated
4517718.3,39,,Mice Frailty,Mouse_19.M11-Aug15_R1,,,3.0779E-05,3,9746920,terrestrial biome,mammalia-associated habitat,feces,host-associated
4472365.3,598,total_community,Human Microbiome Project (HMP),SRR059919,,19819907,3.05152E-05,9,29493482,terrestrial biome,human-associated habitat,mucus,human-oral
4473305.3,703,total_community,Human Microbiome Project (HMP),SRR062327,,19819907,3.04399E-05,4,13140667,terrestrial biome,human-associated habitat,mucus,human-oral
