Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
959Kp_1	(30, 2880.0)	(40, 3621.0)	(50, 3753.0)	(60, 4185.0)	(70, 4611.0)	(80, 4768.0)	(90, 5046.0)	(100, 5246.0)	(110, 5510.0)	(120, 5647.0)	(130, 5886.0)	(140, 6426.0)	(150, 6519.0)	(160, 6848.0)	(170, 7233.0)	(180, 7748.0)	(190, 8247.0)	(200, 8770.0)	(210, 9605.0)	(220, 10184.0)	(230, 10902.0)	(240, 11950.0)	(250, 12638.0)	(260, 13432.0)	(270, 14329.0)	(280, 15182.0)	(290, 43696.0)	(300, 320626.0)
959Kp_2	(30, 2877.0)	(40, 3616.0)	(50, 3754.0)	(60, 4180.0)	(70, 4602.0)	(80, 4766.0)	(90, 5056.0)	(100, 5257.0)	(110, 5529.0)	(120, 5661.0)	(130, 5893.0)	(140, 6408.0)	(150, 6514.0)	(160, 6867.0)	(170, 7244.0)	(180, 7758.0)	(190, 8254.0)	(200, 8777.0)	(210, 9590.0)	(220, 10160.0)	(230, 10808.0)	(240, 11813.0)	(250, 12478.0)	(260, 13200.0)	(270, 13965.0)	(280, 14683.0)	(290, 42713.0)	(300, 323065.0)
964Kp_1	(30, 2105.0)	(40, 2733.0)	(50, 2968.0)	(60, 3260.0)	(70, 3661.0)	(80, 4024.0)	(90, 4194.0)	(100, 4686.0)	(110, 5042.0)	(120, 5421.0)	(130, 5888.0)	(140, 6437.0)	(150, 7008.0)	(160, 7666.0)	(170, 8611.0)	(180, 9190.0)	(190, 10365.0)	(200, 11340.0)	(210, 12518.0)	(220, 13702.0)	(230, 14710.0)	(240, 16164.0)	(250, 17232.0)	(260, 18296.0)	(270, 19117.0)	(280, 19902.0)	(290, 44399.0)	(300, 279061.0)
964Kp_2	(30, 2103.0)	(40, 2732.0)	(50, 2961.0)	(60, 3254.0)	(70, 3653.0)	(80, 4017.0)	(90, 4201.0)	(100, 4686.0)	(110, 5057.0)	(120, 5433.0)	(130, 5888.0)	(140, 6422.0)	(150, 7006.0)	(160, 7671.0)	(170, 8600.0)	(180, 9172.0)	(190, 10353.0)	(200, 11353.0)	(210, 12465.0)	(220, 13658.0)	(230, 14568.0)	(240, 15964.0)	(250, 16887.0)	(260, 17853.0)	(270, 18364.0)	(280, 19087.0)	(290, 43722.0)	(300, 282570.0)
965Kp_1	(30, 1854.0)	(40, 2783.0)	(50, 2933.0)	(60, 3300.0)	(70, 3439.0)	(80, 3871.0)	(90, 4030.0)	(100, 4387.0)	(110, 4872.0)	(120, 4921.0)	(130, 5434.0)	(140, 5809.0)	(150, 6253.0)	(160, 6561.0)	(170, 7240.0)	(180, 7779.0)	(190, 8474.0)	(200, 9105.0)	(210, 9953.0)	(220, 10730.0)	(230, 11477.0)	(240, 12669.0)	(250, 13869.0)	(260, 14614.0)	(270, 15830.0)	(280, 16645.0)	(290, 47989.0)	(300, 343493.0)
965Kp_2	(30, 1850.0)	(40, 2783.0)	(50, 2934.0)	(60, 3293.0)	(70, 3443.0)	(80, 3867.0)	(90, 4025.0)	(100, 4379.0)	(110, 4880.0)	(120, 4915.0)	(130, 5429.0)	(140, 5820.0)	(150, 6255.0)	(160, 6572.0)	(170, 7246.0)	(180, 7752.0)	(190, 8494.0)	(200, 9095.0)	(210, 9889.0)	(220, 10668.0)	(230, 11350.0)	(240, 12485.0)	(250, 13591.0)	(260, 14281.0)	(270, 15320.0)	(280, 15935.0)	(290, 47078.0)	(300, 346685.0)
966Kp_1	(30, 2592.0)	(40, 3297.0)	(50, 3571.0)	(60, 3637.0)	(70, 4094.0)	(80, 4296.0)	(90, 4730.0)	(100, 5012.0)	(110, 5189.0)	(120, 5629.0)	(130, 5896.0)	(140, 6271.0)	(150, 6968.0)	(160, 7232.0)	(170, 7763.0)	(180, 8407.0)	(190, 8987.0)	(200, 9885.0)	(210, 10603.0)	(220, 11683.0)	(230, 12468.0)	(240, 13656.0)	(250, 14607.0)	(260, 15938.0)	(270, 17088.0)	(280, 18221.0)	(290, 53336.0)	(300, 384407.0)
966Kp_2	(30, 2593.0)	(40, 3294.0)	(50, 3576.0)	(60, 3634.0)	(70, 4083.0)	(80, 4292.0)	(90, 4729.0)	(100, 5024.0)	(110, 5187.0)	(120, 5629.0)	(130, 5886.0)	(140, 6263.0)	(150, 6964.0)	(160, 7227.0)	(170, 7777.0)	(180, 8412.0)	(190, 9009.0)	(200, 9874.0)	(210, 10613.0)	(220, 11632.0)	(230, 12370.0)	(240, 13474.0)	(250, 14436.0)	(260, 15614.0)	(270, 16545.0)	(280, 17587.0)	(290, 52079.0)	(300, 387660.0)
967Kp_1	(30, 3334.0)	(40, 4292.0)	(50, 4474.0)	(60, 4967.0)	(70, 5306.0)	(80, 5819.0)	(90, 6066.0)	(100, 6485.0)	(110, 6761.0)	(120, 6884.0)	(130, 7320.0)	(140, 7592.0)	(150, 8147.0)	(160, 8683.0)	(170, 9370.0)	(180, 9897.0)	(190, 10741.0)	(200, 11912.0)	(210, 12371.0)	(220, 13353.0)	(230, 14627.0)	(240, 15984.0)	(250, 17098.0)	(260, 17861.0)	(270, 19164.0)	(280, 20183.0)	(290, 50524.0)	(300, 343552.0)
967Kp_2	(30, 3330.0)	(40, 4295.0)	(50, 4477.0)	(60, 4969.0)	(70, 5301.0)	(80, 5811.0)	(90, 6072.0)	(100, 6475.0)	(110, 6758.0)	(120, 6881.0)	(130, 7322.0)	(140, 7601.0)	(150, 8148.0)	(160, 8699.0)	(170, 9378.0)	(180, 9903.0)	(190, 10752.0)	(200, 11893.0)	(210, 12338.0)	(220, 13304.0)	(230, 14544.0)	(240, 15808.0)	(250, 16829.0)	(260, 17493.0)	(270, 18582.0)	(280, 19478.0)	(290, 49753.0)	(300, 346573.0)
975Kp_1	(30, 3620.0)	(40, 4972.0)	(50, 5148.0)	(60, 5559.0)	(70, 6072.0)	(80, 6478.0)	(90, 6874.0)	(100, 7195.0)	(110, 7584.0)	(120, 7980.0)	(130, 8245.0)	(140, 8616.0)	(150, 9352.0)	(160, 9833.0)	(170, 10659.0)	(180, 11197.0)	(190, 12118.0)	(200, 13309.0)	(210, 13900.0)	(220, 15288.0)	(230, 16212.0)	(240, 17379.0)	(250, 18725.0)	(260, 19587.0)	(270, 20408.0)	(280, 21696.0)	(290, 51888.0)	(300, 344520.0)
975Kp_2	(30, 3615.0)	(40, 4963.0)	(50, 5153.0)	(60, 5553.0)	(70, 6079.0)	(80, 6462.0)	(90, 6879.0)	(100, 7198.0)	(110, 7596.0)	(120, 7988.0)	(130, 8256.0)	(140, 8613.0)	(150, 9358.0)	(160, 9843.0)	(170, 10651.0)	(180, 11212.0)	(190, 12133.0)	(200, 13315.0)	(210, 13841.0)	(220, 15202.0)	(230, 16099.0)	(240, 17138.0)	(250, 18436.0)	(260, 19186.0)	(270, 19784.0)	(280, 20903.0)	(290, 50864.0)	(300, 348094.0)
AMB201Kp_1	(30, 3155.0)	(40, 4166.0)	(50, 4190.0)	(60, 4807.0)	(70, 5041.0)	(80, 5391.0)	(90, 5696.0)	(100, 5998.0)	(110, 6154.0)	(120, 6483.0)	(130, 6570.0)	(140, 6930.0)	(150, 7291.0)	(160, 7755.0)	(170, 8203.0)	(180, 8442.0)	(190, 9148.0)	(200, 9756.0)	(210, 10544.0)	(220, 11275.0)	(230, 12040.0)	(240, 12905.0)	(250, 13659.0)	(260, 14597.0)	(270, 15558.0)	(280, 16709.0)	(290, 47943.0)	(300, 347129.0)
AMB201Kp_2	(30, 3153.0)	(40, 4159.0)	(50, 4187.0)	(60, 4807.0)	(70, 5042.0)	(80, 5380.0)	(90, 5690.0)	(100, 5992.0)	(110, 6155.0)	(120, 6478.0)	(130, 6570.0)	(140, 6958.0)	(150, 7282.0)	(160, 7750.0)	(170, 8207.0)	(180, 8447.0)	(190, 9130.0)	(200, 9769.0)	(210, 10482.0)	(220, 11264.0)	(230, 11899.0)	(240, 12701.0)	(250, 13401.0)	(260, 14260.0)	(270, 15018.0)	(280, 15993.0)	(290, 47169.0)	(300, 350192.0)
