Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
959Kp_1	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 26.0)	(16.0, 187.0)	(17.0, 657.0)	(18.0, 1201.0)	(19.0, 1530.0)	(20.0, 1759.0)	(21.0, 2138.0)	(22.0, 2377.0)	(23.0, 2759.0)	(24.0, 3161.0)	(25.0, 3919.0)	(26.0, 4709.0)	(27.0, 6083.0)	(28.0, 8601.0)	(29.0, 12853.0)	(30.0, 21163.0)	(31.0, 37951.0)	(32.0, 106850.0)	(33.0, 338879.0)	(34.0, 8680.0)
959Kp_2	(2.0, 5.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 0.0)	(12.0, 1.0)	(13.0, 10.0)	(14.0, 76.0)	(15.0, 336.0)	(16.0, 1199.0)	(17.0, 2886.0)	(18.0, 3739.0)	(19.0, 3890.0)	(20.0, 4083.0)	(21.0, 4285.0)	(22.0, 4829.0)	(23.0, 5298.0)	(24.0, 6680.0)	(25.0, 8026.0)	(26.0, 10393.0)	(27.0, 13652.0)	(28.0, 19276.0)	(29.0, 29130.0)	(30.0, 47073.0)	(31.0, 80435.0)	(32.0, 141679.0)	(33.0, 172363.0)	(34.0, 6143.0)
964Kp_1	(15.0, 34.0)	(16.0, 212.0)	(17.0, 738.0)	(18.0, 1355.0)	(19.0, 1596.0)	(20.0, 1749.0)	(21.0, 2082.0)	(22.0, 2437.0)	(23.0, 2699.0)	(24.0, 3146.0)	(25.0, 3712.0)	(26.0, 4572.0)	(27.0, 6000.0)	(28.0, 7999.0)	(29.0, 12164.0)	(30.0, 19214.0)	(31.0, 35309.0)	(32.0, 98978.0)	(33.0, 346274.0)	(34.0, 9430.0)													
964Kp_2	(13.0, 3.0)	(14.0, 74.0)	(15.0, 341.0)	(16.0, 1445.0)	(17.0, 3377.0)	(18.0, 4409.0)	(19.0, 4362.0)	(20.0, 4386.0)	(21.0, 4687.0)	(22.0, 5139.0)	(23.0, 5751.0)	(24.0, 6750.0)	(25.0, 8371.0)	(26.0, 10561.0)	(27.0, 13751.0)	(28.0, 19839.0)	(29.0, 29385.0)	(30.0, 47675.0)	(31.0, 79718.0)	(32.0, 138607.0)	(33.0, 165738.0)	(34.0, 5331.0)											
965Kp_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 24.0)	(16.0, 179.0)	(17.0, 734.0)	(18.0, 1252.0)	(19.0, 1593.0)	(20.0, 1774.0)	(21.0, 2241.0)	(22.0, 2573.0)	(23.0, 2792.0)	(24.0, 3280.0)	(25.0, 4035.0)	(26.0, 4904.0)	(27.0, 6424.0)	(28.0, 9038.0)	(29.0, 13397.0)	(30.0, 21353.0)	(31.0, 39363.0)	(32.0, 110382.0)	(33.0, 355852.0)	(34.0, 9121.0)
965Kp_2	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 5.0)	(14.0, 77.0)	(15.0, 443.0)	(16.0, 1523.0)	(17.0, 3668.0)	(18.0, 4813.0)	(19.0, 4791.0)	(20.0, 4980.0)	(21.0, 5246.0)	(22.0, 5873.0)	(23.0, 6678.0)	(24.0, 7813.0)	(25.0, 9724.0)	(26.0, 12292.0)	(27.0, 15958.0)	(28.0, 22590.0)	(29.0, 33858.0)	(30.0, 53370.0)	(31.0, 87506.0)	(32.0, 145039.0)	(33.0, 159231.0)	(34.0, 4834.0)
966Kp_1	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 56.0)	(16.0, 295.0)	(17.0, 945.0)	(18.0, 1625.0)	(19.0, 1919.0)	(20.0, 2101.0)	(21.0, 2537.0)	(22.0, 2910.0)	(23.0, 3154.0)	(24.0, 3718.0)	(25.0, 4421.0)	(26.0, 5588.0)	(27.0, 6866.0)	(28.0, 9685.0)	(29.0, 14009.0)	(30.0, 22506.0)	(31.0, 40154.0)	(32.0, 113627.0)	(33.0, 409268.0)	(34.0, 10077.0)
966Kp_2	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 109.0)	(15.0, 576.0)	(16.0, 1921.0)	(17.0, 4316.0)	(18.0, 5358.0)	(19.0, 5104.0)	(20.0, 5274.0)	(21.0, 5498.0)	(22.0, 6009.0)	(23.0, 6991.0)	(24.0, 8292.0)	(25.0, 9734.0)	(26.0, 12490.0)	(27.0, 16648.0)	(28.0, 23243.0)	(29.0, 34918.0)	(30.0, 55453.0)	(31.0, 93961.0)	(32.0, 161867.0)	(33.0, 191563.0)	(34.0, 6134.0)
967Kp_1	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 27.0)	(16.0, 248.0)	(17.0, 771.0)	(18.0, 1482.0)	(19.0, 1829.0)	(20.0, 2080.0)	(21.0, 2557.0)	(22.0, 2768.0)	(23.0, 3085.0)	(24.0, 3529.0)	(25.0, 4403.0)	(26.0, 5429.0)	(27.0, 7064.0)	(28.0, 9423.0)	(29.0, 14477.0)	(30.0, 23308.0)	(31.0, 42597.0)	(32.0, 117313.0)	(33.0, 398899.0)	(34.0, 11474.0)
967Kp_2	(2.0, 1.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 1.0)	(14.0, 75.0)	(15.0, 359.0)	(16.0, 1449.0)	(17.0, 3752.0)	(18.0, 4867.0)	(19.0, 4867.0)	(20.0, 4876.0)	(21.0, 5234.0)	(22.0, 5819.0)	(23.0, 6467.0)	(24.0, 7797.0)	(25.0, 9601.0)	(26.0, 11813.0)	(27.0, 16006.0)	(28.0, 22268.0)	(29.0, 33598.0)	(30.0, 54402.0)	(31.0, 93129.0)	(32.0, 163628.0)	(33.0, 195897.0)	(34.0, 6861.0)
975Kp_1	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 53.0)	(16.0, 324.0)	(17.0, 922.0)	(18.0, 1596.0)	(19.0, 1928.0)	(20.0, 2251.0)	(21.0, 2583.0)	(22.0, 2943.0)	(23.0, 3260.0)	(24.0, 3797.0)	(25.0, 4416.0)	(26.0, 5659.0)	(27.0, 7155.0)	(28.0, 9647.0)	(29.0, 14775.0)	(30.0, 23217.0)	(31.0, 42096.0)	(32.0, 115748.0)	(33.0, 428072.0)	(34.0, 13963.0)
975Kp_2	(2.0, 8.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 82.0)	(15.0, 530.0)	(16.0, 1590.0)	(17.0, 3614.0)	(18.0, 4716.0)	(19.0, 4606.0)	(20.0, 4932.0)	(21.0, 5080.0)	(22.0, 5625.0)	(23.0, 6483.0)	(24.0, 7373.0)	(25.0, 9102.0)	(26.0, 11535.0)	(27.0, 15220.0)	(28.0, 21720.0)	(29.0, 33047.0)	(30.0, 53710.0)	(31.0, 93306.0)	(32.0, 172739.0)	(33.0, 221345.0)	(34.0, 8047.0)
AMB201Kp_1	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 38.0)	(16.0, 244.0)	(17.0, 731.0)	(18.0, 1399.0)	(19.0, 1655.0)	(20.0, 1898.0)	(21.0, 2301.0)	(22.0, 2599.0)	(23.0, 2922.0)	(24.0, 3432.0)	(25.0, 4209.0)	(26.0, 5233.0)	(27.0, 6688.0)	(28.0, 9284.0)	(29.0, 13721.0)	(30.0, 21982.0)	(31.0, 40022.0)	(32.0, 112237.0)	(33.0, 376260.0)	(34.0, 10677.0)
AMB201Kp_2	(2.0, 3.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 3.0)	(14.0, 76.0)	(15.0, 456.0)	(16.0, 1722.0)	(17.0, 4278.0)	(18.0, 5341.0)	(19.0, 5053.0)	(20.0, 5217.0)	(21.0, 5587.0)	(22.0, 6229.0)	(23.0, 7124.0)	(24.0, 8230.0)	(25.0, 9989.0)	(26.0, 12668.0)	(27.0, 16699.0)	(28.0, 23556.0)	(29.0, 34845.0)	(30.0, 55165.0)	(31.0, 90030.0)	(32.0, 149423.0)	(33.0, 169565.0)	(34.0, 6274.0)
