query_name,rank,fraction,lineage,query_md5,query_filename,f_weighted_at_rank,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
SRR1145844,family,0.00554016620498615,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,3.868372188982876e-05,20000,0.9031405642357614,77552
SRR1145844,family,0.002770083102493075,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,family,0.002770083102493075,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,family,0.002770083102493075,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,2.5789147926552507e-05,10000,0.890948908183572,77552
SRR1145844,family,0.9806094182825484,unclassified,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,0.9956158448524861,3540000,,77552
SRR1145844,genus,0.00554016620498615,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,0.004293893129770993,20000,0.9031405642357614,77552
SRR1145844,genus,0.002770083102493075,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Brucella,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,genus,0.002770083102493075,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,genus,0.002770083102493075,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,2.5789147926552507e-05,10000,0.890948908183572,77552
SRR1145844,genus,0.002770083102493075,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae;g__Leptospira,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,2.5789147926552507e-05,10000,0.890948908183572,77552
SRR1145844,genus,0.002770083102493075,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,genus,0.9806094182825484,unclassified,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,0.9956158448524861,3540000,,77552
SRR1145844,species,0.00554016620498615,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,0.004293893129770993,20000,0.9031405642357614,77552
SRR1145844,species,0.002770083102493075,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Brucella;s__Brucella pituitosa,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,species,0.002770083102493075,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium cladoniae,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,species,0.002770083102493075,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,2.5789147926552507e-05,10000,0.890948908183572,77552
SRR1145844,species,0.002770083102493075,d__Bacteria;p__Spirochaetota;c__Leptospiria;o__Leptospirales;f__Leptospiraceae;g__Leptospira;s__Leptospira santarosai,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,2.5789147926552507e-05,10000,0.890948908183572,77552
SRR1145844,species,0.002770083102493075,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia mallei,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,1.2894573963276254e-05,10000,0.890948908183572,77552
SRR1145844,species,0.9806094182825484,unclassified,c8e26751,/mnt/data1/quantnm/workflow/profiler_sourmash/work/0e/1327d1095c74cec5d6e034701f2129/SRR1145844/SRR1145844.fastq.gz,0.9956158448524861,3540000,,77552
